class,country,name,bus,technical potential [MW]
Generator,XY,XY_CE_HVELEC_PHOT,XY_CE_HVELEC,31459
Generator,XY,XY_CH_HVELEC_PHOT,XY_CH_HVELEC,199763
Generator,XY,XY_CN_HVELEC_PHOT,XY_CN_HVELEC,103600
Generator,XY,XY_CS_HVELEC_PHOT,XY_CS_HVELEC,159320
Generator,XY,XY_NR_HVELEC_PHOT,XY_NR_HVELEC,826800
Generator,XY,XY_SO_HVELEC_PHOT,XY_SO_HVELEC,247609
Generator,XY,XY_CE_HVELEC_WTON,XY_CE_HVELEC,11235
Generator,XY,XY_CH_HVELEC_WTON,XY_CH_HVELEC,74386
Generator,XY,XY_CN_HVELEC_WTON,XY_CN_HVELEC,10717
Generator,XY,XY_CS_HVELEC_WTON,XY_CS_HVELEC,34764
Generator,XY,XY_NR_HVELEC_WTON,XY_NR_HVELEC,12565
Generator,XY,XY_SO_HVELEC_WTON,XY_SO_HVELEC,73638
Generator,XY,XY_CE_HVELEC_WTOF,XY_CE_HVELEC,0
Generator,XY,XY_CH_HVELEC_WTOF,XY_CH_HVELEC,0
Generator,XY,XY_CN_HVELEC_WTOF,XY_CN_HVELEC,13000
Generator,XY,XY_CS_HVELEC_WTOF,XY_CS_HVELEC,118000
Generator,XY,XY_NR_HVELEC_WTOF,XY_NR_HVELEC,13000
Generator,XY,XY_SO_HVELEC_WTOF,XY_SO_HVELEC,26200
Generator,XY,XY_CE_HVELEC_RTPV,XY_CE_HVELEC,3521
Generator,XY,XY_CH_HVELEC_RTPV,XY_CH_HVELEC,2448
Generator,XY,XY_CN_HVELEC_RTPV,XY_CN_HVELEC,5542
Generator,XY,XY_CS_HVELEC_RTPV,XY_CS_HVELEC,4165
Generator,XY,XY_NR_HVELEC_RTPV,XY_NR_HVELEC,10724
Generator,XY,XY_SO_HVELEC_RTPV,XY_SO_HVELEC,22091
Generator,XY,XY_CE_HVELEC_HROR,XY_CE_HVELEC,410
Generator,XY,XY_CH_HVELEC_HROR,XY_CH_HVELEC,384.2
Generator,XY,XY_CN_HVELEC_HROR,XY_CN_HVELEC,242.2
Generator,XY,XY_CS_HVELEC_HROR,XY_CS_HVELEC,70.5
Generator,XY,XY_NR_HVELEC_HROR,XY_NR_HVELEC,1474.43
Generator,XY,XY_SO_HVELEC_HROR,XY_SO_HVELEC,278.6
