country,technology,technology_nomenclature,carrier,class,efficiency,efficiency2,efficiency3,efficiency_store,max_hours,cyclic_state_of_charge,state_of_charge_initial,p_max_pu,p_min_pu,ramp_limit_down,ramp_limit_up,standing_loss
XY,BATS,Utility Battery storage,Electricity,Link,0.97,0,,,,,,1,-1,1,1,
XY,HHBS,Household Battery storage,Electricity,Link,0.9,0,,,,,,1,-1,1,1,
XY,BIOT,Biomass power plant ,Bio,Link,0.304625237,0,0,,,,,1,0,0.706759531,0.538284457,
XY,CHP,Biomass CHP plants,Bio,Link,0.27,0,0.28125,,,,,1,0,0.706759531,0.538284457,
XY,CCGT,Combined cycle gas turbine,Gas,Link,0.52,0.2,0,,,,,1,0,0.751,0.714,
XY,CCGT,Combined cycle gas turbine,Lng,Link,0.52,0.2,0,,,,,1,0,0.751,0.714,
XY,OCGT,Open cycle gas turbine,Gas,Link,0.38,0.2,0,,,,,1,0,0.683010417,0.625840909,
XY,OCGT,Open cycle gas turbine,Lng,Link,0.38,0.2,0,,,,,1,0,0.683010417,0.625840909,
XY,CSP,Concentrated solar ,Solar,Generator,1,,,,,,,,0,1,1,
XY,DAC,Direct air capture,CO2,Link,1,-0.5,,,,,,1,0,1,1,
XY,EVST_PUB,Battery electric vehicle storage (Public),EVstor,StorageUnit,0.97,,,0.98,7,FALSE,0,1,-1,1,1,0
XY,EVST_PRV,Battery electric vehicle storage (Private),EVstor,StorageUnit,0.9,,,0.9,7,FALSE,0,1,-1,1,1,0
XY,GEOT,Geothermal power plant,Geothermal,Generator,1,,,,,,,,0.491,0.42,0.42,
XY,HDAM,Hydro dam,Water,StorageUnit,0.95,,,0,9,FALSE,3,1,0,1,1,0
XY,HPHS,Hydro pumped storage,Water,StorageUnit,0.8,,,0.8,9,TRUE,,1,-1,1,1,0
XY,SubC,subcritical coal power plant,Lig,Link,0.35,0.363,0,,,,,1,0,0.764132524,0.575942915,
XY,SubC,subcritical coal power plant,Bit,Link,0.35,0.34,0,,,,,1,0,0.764132524,0.575942915,
XY,SubC,subcritical coal power plant,Hrdc,Link,0.35,0.353,0,,,,,1,0,0.764132524,0.575942915,
XY,SupC,Supercritical coal power plant,Lig,Link,0.381,0.363,0,,,,,1,0,0.764132524,0.575942915,
XY,SupC,Supercritical coal power plant,Bit,Link,0.381,0.34,0,,,,,1,0,0.764132524,0.575942915,
XY,SupC,Supercritical coal power plant,Hrdc,Link,0.381,0.353,0,,,,,1,0,0.764132524,0.575942915,
XY,HROR,Hydro run-of-river,Water,Generator,1,,,,,,,,0,1,1,
XY,INLHSTOR,Thermal low Heat Storage,Low_Heat,Link,0.75,0,,,,,,1,-1,1,1,
XY,IND_BOILER,Industry heat boiler,Hrdc,Link,0.9,0.353,0,,,,,1,0,1,1,
XY,IND_BOILER,Industry heat boiler,Oil,Link,0.9,0.28,0,,,,,1,0,1,1,
XY,IND_BOILER,Industry heat boiler,Gas,Link,0.9,0.2,0,,,,,1,0,1,1,
XY,IND_BOILER,Industry heat boiler,Bio,Link,0.9,0,0,,,,,1,0,1,1,
XY,IND_BOILER,Industry heat boiler,Hyd,Link,0.9,0,0,,,,,1,0,1,1,
XY,NUCL,Nuclear,Uranium,Link,0.33,0,0,,,,,1,0.498,0.72,0.54,
XY,OCHT,Open cycle hydrogen turbine,Hyd,Link,0.38,0,0,,,,,1,0,0.683010417,0.625840909,
XY,OILT,Oil turbine power plant,Oil,Link,0.33,0.28,0,,,,,1,0,0.771507085,0.650936846,
XY,PHOT,Solar PV,Solar,Generator,1,,,,,,,,0,1,1,
XY,RTPV,Roof top PV,Solar,Generator,1,,,,,,,,0,1,1,
XY,SWHT,Solar hot water heater,Solar,Generator,1,,,,,,,,0,1,1,
XY,WSTT,Waste turbine,Waste,Generator,0.317583333,,,,,,,,0.2055,0.687333333,0.529333333,
XY,WTOF,Offshore Wind,Wind,Generator,1,,,,,,,,0,1,1,
XY,WTON,Onshore Wind,Wind,Generator,1,,,,,,,,0,1,1,
XY,EDLH,Dielectric heating technology,Electricity,Link,0.55,0,,,,,,1,0,1,1,
XY,EHPP,Industry heat pump,Electricity,Link,0.75,0,,,,,,1,0,1,1,
XY,EIDT,Induction heat boiler,Electricity,Link,4,0,,,,,,1,0,1,1,
XY,EERH,Electric resistance heater,Electricity,Link,1,0,,,,,,1,0,1,1,
XY,PEVCH,PEV charger,Electricity,Link,1,0,,,,,,1,0,1,1,
XY,ELTZ,Electrolyser for hydrogen production,Hyd,Link,0.8,0,,,,,,1,0,1,1,
XY,FITR,Fischer Tropsch,Hyd,Link,0.65,-0.175,,,,,,1,0,1,1,
XY,METH,Methanation,Hyd,Link,0.8,-0.16,,,,,,1,0,1,1,
